name,type,events,total_artists,notable_artists,is_target
HOOVE,promoter,1,4,2,False
PUNKY,promoter,6,7,2,False
Polymorph,promoter,3,5,2,False
hypnotone,promoter,2,6,2,False
Mario Guitián,promoter,6,13,2,False
Art Sounds,promoter,2,2,2,False
BAAROOM,promoter,2,5,2,False
That's it.,promoter,4,9,2,False
Respoke,promoter,1,2,2,False
Spacer,promoter,3,4,2,False
The Room Space,promoter,9,19,2,False
Disonante,promoter,3,7,2,False
Bejaus Sessions,promoter,11,14,2,False
AURA-Barcelona,promoter,10,17,2,False
Vertigo Sessions,promoter,6,8,2,False
Boogie House,promoter,1,2,2,False
Baang,promoter,2,6,2,False
BESO,promoter,2,5,2,False
Furious Project,promoter,2,3,2,False
Get In Tone Records,promoter,2,5,2,False
Sensoria,promoter,3,10,2,False
Atlantic Sound BCN,promoter,7,17,2,False
arteyamor,promoter,1,6,2,False
Wes Colstock,promoter,1,8,2,False
JIWA WORLD,promoter,1,8,2,False
Pager,promoter,1,2,2,False
UnderWater Events,promoter,2,8,2,False
TMPL MUSIC,promoter,1,5,2,False
Vassnova,promoter,1,3,2,False
The Detroit I Love,promoter,1,3,2,False
COCO Beats,promoter,1,2,2,False
pieces,promoter,1,2,2,False
That Divine,promoter,1,5,2,False
Innercore Agency,promoter,4,6,2,False
eed,promoter,2,2,2,False
Zuku,promoter,1,4,2,False
True Color Recs,promoter,4,8,2,False
Maai Records,promoter,1,3,2,False
Lost Boys,promoter,1,4,2,False
casatres,promoter,1,4,2,False
DJ Serviced Records / Call Now,promoter,4,15,2,False
Derrick Burns ,promoter,3,5,2,False
Fullhouse,promoter,2,6,2,False
ElectroWick,promoter,1,4,2,False
El Suc,promoter,1,2,2,False
Nerve Melb,promoter,1,2,2,False
Heritage collective,promoter,1,2,2,False
Ciutat Electronica,promoter,1,5,2,False
No_Stone,promoter,2,3,2,False
LE CLUB™,promoter,3,3,2,False
Bonanza Sound,promoter,2,8,2,False
KGS,promoter,1,3,2,False
tresydos,promoter,1,2,2,False
SMALL EWOK ,promoter,1,4,2,False
GOME + The Gang,promoter,1,2,2,False
Sintetics,promoter,1,2,2,False
giegling,promoter,2,5,2,False
Primes Media,promoter,3,6,2,False
DIGIT,promoter,2,3,2,False
Stansa,promoter,3,7,2,False
ORBITAL2.0,promoter,4,9,2,False
Godbless,promoter,1,2,2,False
Y,promoter,3,12,2,False
Natural Mind,promoter,1,4,2,False
Festival•B,promoter,1,2,2,False
Silencio,promoter,3,7,2,False
Matias,promoter,15,26,2,False
Jazztrònica Barcelona,promoter,2,3,2,False
Afrodise,promoter,1,3,2,False
Ousia,promoter,2,9,2,False
Delirio Electronic,promoter,1,5,2,False
El.Pumarejo,promoter,1,11,2,False
Pleasure Club,promoter,1,2,2,False
BEAT MAG MUSIC,promoter,10,11,2,False
SNOOZ PARTIES,promoter,1,3,2,False
observer,promoter,5,13,2,False
PROGRAMA HOLOGRAMA,promoter,1,3,2,False
Move Your Body,promoter,10,8,2,False
endlessbcn,promoter,1,5,2,False
Technopolis.Music,promoter,1,5,2,False
Mood Nation,promoter,6,12,2,False
PPL UNITED,promoter,1,2,2,False
Dissart Electronik,promoter,1,9,2,False
Sutton,promoter,1,4,2,False
Watermelonbcn,promoter,1,3,2,False
glamer,promoter,1,2,2,False
Jazztrònica,promoter,1,2,2,False
Renaissance Barcelona Hotel,venue,45,7,1,False
"D.E.R Bar - Drink, Eat, Repeat",venue,3,4,1,False
Jamboree Dance Club,venue,25,2,1,False
Duquesa de Cardona,venue,14,4,1,False
Fractal Estudios,venue,3,9,1,False
TBA - Frankie Gallo Cha Cha Cha Raval,venue,1,3,1,False
Centre Cívic Convent de Sant Agustí,venue,4,7,1,False
Hotel Negresco Princess,venue,111,2,1,False
Twenties Barcelona,venue,10,2,1,False
WARE CLUB,venue,2,4,1,False
EL Cinco,venue,1,2,1,False
Unite Hostel,venue,32,28,1,False
TBA - NAVU GRANOLLERS,venue,1,2,1,False
TBA - Doppler Space Barcelona,venue,1,1,1,False
La Font Del Gat,venue,4,5,1,False
TBA - Galería LastCrit C/ Mendez Nuñez 7,venue,2,1,1,False
TBA - Palau Electrónic (Private Loft in City Center),venue,1,6,1,False
Duquesa Suites Hotel Rooftop,venue,53,6,1,False
Bejaus Cafè,venue,7,7,1,False
TBA - Disco Q,venue,1,4,1,False
TBA - Secret Modernism House Barcelona Centre,venue,1,2,1,False
"TBA - SABDA, Carrer Muntaner 83, Barcelona",venue,1,4,1,False
La Perla Club,venue,29,7,1,False
"TBA - KOAH CLUB · Av. de Jaume I, 184, 08226 Terrassa, Barcelona",venue,5,4,1,False
La Pizzeria x Nossa,venue,2,3,1,False
Be Disco,venue,2,6,1,False
Lo Submarino,venue,3,8,1,False
"TBA - Los Angeles Studio / Carrer de Salvador 22, 08902, L ´Hospitalet de Llobregat",venue,1,2,1,False
Amfiteatre del Parc Catalunya,venue,1,1,1,False
Casino La Foresta,venue,3,9,1,False
Small Black Dots - Record Shop & Distribution,venue,2,3,1,False
TBA - Mansion Near Urquinaona,venue,1,3,1,False
TBA - Private Basement (City Center),venue,1,7,1,False
TBA - LULU & FLYN,venue,1,3,1,False
TBA - El Gat Negre - Gràcia - C/ Sant Lluis 47,venue,33,13,1,False
Casa Rojo,venue,13,22,1,False
Anonymo,venue,2,2,1,False
Wapa BCN,venue,2,5,1,False
"TBA - Esferic Plaça de Dante, Sants-Montjuïc, 08038 Barcelona",venue,1,1,1,False
Za'atar Pool & Bar,venue,6,8,1,False
TBA - SECRET LOCATION // SANT MARTI,venue,2,3,1,False
TBA - Secret Cursi Mansion,venue,1,4,1,False
TBA - Edifici de Capitanía Marítima de Badalona,venue,1,7,1,False
Particular Mataró,venue,2,5,1,False
TBA - Edifici Capitanía Badalona,venue,1,3,1,False
TBA - SIDERAL VERNEDA,venue,3,5,1,False
TBA - NOVOTEL BARCELONA CITY,venue,2,5,1,False
"TBA - Sky Garden, Sallés Hotel ",venue,2,1,1,False
TBA - SOTTOCOSTA BOAT BARCELONA,venue,1,3,1,False
TBA - Motor Oil Barcelona,venue,2,4,1,False
